command,intent,target_type,attribute,spatial_relation,spatial_reference,position
scroll down to menu below the cart,scroll,menu,NONE,below,cart,NONE
tap green button above the login,tap,button,green,above,login,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
select the last pink image,click,image,pink,NONE,NONE,last
select the 3rd image to the left of the search,click,image,NONE,left_of,search,3rd
open menu to the right of the checkout,open,menu,NONE,right_of,checkout,NONE
copy the 3rd purple text next to the settings,copy,text,purple,next_to,settings,3rd
open the 2nd button,open,button,NONE,NONE,NONE,2nd
copy text to the right of the search,copy,text,NONE,right_of,search,NONE
press and hold the last pink icon,long-press,icon,pink,NONE,NONE,last
copy the 2nd red text,copy,text,red,NONE,NONE,2nd
long-press green icon above the cart,long-press,icon,green,above,cart,NONE
tap the 3rd purple button,tap,button,purple,NONE,NONE,3rd
long-press orange image,long-press,image,orange,NONE,NONE,NONE
tap button above the help,tap,button,NONE,above,help,NONE
open white button to the right of the settings,open,button,white,right_of,settings,NONE
paste blue text to the right of the search,paste,text,blue,right_of,search,NONE
click checkbox,click,checkbox,NONE,NONE,NONE,NONE
paste the 1st text to the right of the wi-fi,paste,text,NONE,right_of,wi-fi,1st
press and hold black text to the right of the menu,long-press,text,black,right_of,menu,NONE
trash the 3rd image,delete,image,NONE,NONE,NONE,3rd
click on icon to the right of the home,click,icon,NONE,right_of,home,NONE
tap on pink checkbox next to the first email,tap,checkbox,pink,next_to,first email,NONE
long-press image to the left of the settings,long-press,image,NONE,left_of,settings,NONE
scroll down to the 3rd tab to the left of the settings,scroll,tab,NONE,left_of,settings,3rd
press the last icon,click,icon,NONE,NONE,NONE,last
remove black button below the payment,delete,button,black,below,payment,NONE
launch green link,open,link,green,NONE,NONE,NONE
click switch to the left of the first email,click,switch,NONE,left_of,first email,NONE
scroll down to orange tab,scroll,tab,orange,NONE,NONE,NONE
copy text to the right of the settings,copy,text,NONE,right_of,settings,NONE
copy gray text to the right of the cart,copy,text,gray,right_of,cart,NONE
press and hold the last image to the right of the payment,long-press,image,NONE,right_of,payment,last
open tab next to the help,open,tab,NONE,next_to,help,NONE
press switch,click,switch,NONE,NONE,NONE,NONE
tap on checkbox above the address,tap,checkbox,NONE,above,address,NONE
tap black icon to the right of the search,tap,icon,black,right_of,search,NONE
click on white image below the home,click,image,white,below,home,NONE
launch menu to the left of the help,open,menu,NONE,left_of,help,NONE
paste purple text,paste,text,purple,NONE,NONE,NONE
copy red text to the left of the home,copy,text,red,left_of,home,NONE
remove green text above the last item,delete,text,green,above,last item,NONE
tap purple icon above the checkout,tap,icon,purple,above,checkout,NONE
paste the 1st text below the help,paste,text,NONE,below,help,1st
launch menu next to the first email,open,menu,NONE,next_to,first email,NONE
copy orange text to the right of the notifications,copy,text,orange,right_of,notifications,NONE
click on link to the right of the checkout,click,link,NONE,right_of,checkout,NONE
paste text to the right of the profile,paste,text,NONE,right_of,profile,NONE
press and hold text next to the settings,long-press,text,NONE,next_to,settings,NONE
delete image,delete,image,NONE,NONE,NONE,NONE
launch tab,open,tab,NONE,NONE,NONE,NONE
scroll to the 3rd purple tab,scroll,tab,purple,NONE,NONE,3rd
trash the 2nd button below the help,delete,button,NONE,below,help,2nd
copy red text to the left of the last item,copy,text,red,left_of,last item,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
paste text to the left of the address,paste,text,NONE,left_of,address,NONE
launch icon below the cart,open,icon,NONE,below,cart,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
scroll to purple tab,scroll,tab,purple,NONE,NONE,NONE
trash text,delete,text,NONE,NONE,NONE,NONE
scroll down to the last tab,scroll,tab,NONE,NONE,NONE,last
launch the 3rd icon above the help,open,icon,NONE,above,help,3rd
open tab next to the menu,open,tab,NONE,next_to,menu,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
paste the last yellow text to the left of the last item,paste,text,yellow,left_of,last item,last
remove the 3rd text above the settings,delete,text,NONE,above,settings,3rd
trash black image next to the address,delete,image,black,next_to,address,NONE
trash the 3rd text to the right of the checkout,delete,text,NONE,right_of,checkout,3rd
open icon,open,icon,NONE,NONE,NONE,NONE
trash button next to the cart,delete,button,NONE,next_to,cart,NONE
long-press white button,long-press,button,white,NONE,NONE,NONE
select icon next to the cart,click,icon,NONE,next_to,cart,NONE
trash button,delete,button,NONE,NONE,NONE,NONE
scroll to text to the right of the wi-fi,scroll,text,NONE,right_of,wi-fi,NONE
click switch,click,switch,NONE,NONE,NONE,NONE
click on gray switch,click,switch,gray,NONE,NONE,NONE
tap yellow switch to the left of the help,tap,switch,yellow,left_of,help,NONE
tap button to the left of the help,tap,button,NONE,left_of,help,NONE
tap on checkbox,tap,checkbox,NONE,NONE,NONE,NONE
press the last icon below the notifications,click,icon,NONE,below,notifications,last
launch icon,open,icon,NONE,NONE,NONE,NONE
long-press gray icon above the search,long-press,icon,gray,above,search,NONE
paste text to the left of the address,paste,text,NONE,left_of,address,NONE
delete white text next to the home,delete,text,white,next_to,home,NONE
paste red text below the cart,paste,text,red,below,cart,NONE
long-press blue button above the wi-fi,long-press,button,blue,above,wi-fi,NONE
launch menu below the payment,open,menu,NONE,below,payment,NONE
remove yellow button to the left of the address,delete,button,yellow,left_of,address,NONE
scroll to tab to the right of the first email,scroll,tab,NONE,right_of,first email,NONE
trash white button,delete,button,white,NONE,NONE,NONE
tap purple icon above the notifications,tap,icon,purple,above,notifications,NONE
paste the 3rd text to the left of the settings,paste,text,NONE,left_of,settings,3rd
copy text below the wi-fi,copy,text,NONE,below,wi-fi,NONE
launch the last menu to the right of the checkout,open,menu,NONE,right_of,checkout,last
copy white text,copy,text,white,NONE,NONE,NONE
paste text below the help,paste,text,NONE,below,help,NONE
tap switch next to the help,tap,switch,NONE,next_to,help,NONE
select the 2nd green tab to the right of the last item,click,tab,green,right_of,last item,2nd
press and hold image to the right of the login,long-press,image,NONE,right_of,login,NONE
paste text to the right of the payment,paste,text,NONE,right_of,payment,NONE
select text above the search,click,text,NONE,above,search,NONE
select the 1st button,click,button,NONE,NONE,NONE,1st
launch icon next to the payment,open,icon,NONE,next_to,payment,NONE
copy the 3rd text to the right of the cart,copy,text,NONE,right_of,cart,3rd
copy text to the left of the help,copy,text,NONE,left_of,help,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
long-press purple text next to the checkout,long-press,text,purple,next_to,checkout,NONE
trash image to the left of the login,delete,image,NONE,left_of,login,NONE
press and hold the 1st button next to the login,long-press,button,NONE,next_to,login,1st
trash white image,delete,image,white,NONE,NONE,NONE
tap the 1st black checkbox to the right of the menu,tap,checkbox,black,right_of,menu,1st
paste text to the left of the login,paste,text,NONE,left_of,login,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
copy green text next to the login,copy,text,green,next_to,login,NONE
paste text next to the login,paste,text,NONE,next_to,login,NONE
tap switch next to the last item,tap,switch,NONE,next_to,last item,NONE
press and hold icon below the checkout,long-press,icon,NONE,below,checkout,NONE
trash text,delete,text,NONE,NONE,NONE,NONE
paste the last text above the search,paste,text,NONE,above,search,last
copy text,copy,text,NONE,NONE,NONE,NONE
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
trash text to the left of the wi-fi,delete,text,NONE,left_of,wi-fi,NONE
remove text to the left of the notifications,delete,text,NONE,left_of,notifications,NONE
paste text to the left of the home,paste,text,NONE,left_of,home,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
tap on link,tap,link,NONE,NONE,NONE,NONE
scroll down to the 2nd text below the help,scroll,text,NONE,below,help,2nd
click red switch to the right of the home,click,switch,red,right_of,home,NONE
select the 1st purple button below the menu,click,button,purple,below,menu,1st
copy purple text next to the first email,copy,text,purple,next_to,first email,NONE
click on button,click,button,NONE,NONE,NONE,NONE
remove button to the right of the search,delete,button,NONE,right_of,search,NONE
paste the 1st purple text,paste,text,purple,NONE,NONE,1st
scroll down to text above the login,scroll,text,NONE,above,login,NONE
press and hold the 2nd text,long-press,text,NONE,NONE,NONE,2nd
paste the last text above the wi-fi,paste,text,NONE,above,wi-fi,last
tap on blue switch to the left of the menu,tap,switch,blue,left_of,menu,NONE
scroll down to the 2nd gray menu,scroll,menu,gray,NONE,NONE,2nd
trash the 1st text above the settings,delete,text,NONE,above,settings,1st
tap icon to the right of the cart,tap,icon,NONE,right_of,cart,NONE
long-press the 2nd icon to the left of the first email,long-press,icon,NONE,left_of,first email,2nd
select the last checkbox,click,checkbox,NONE,NONE,NONE,last
open the 1st icon,open,icon,NONE,NONE,NONE,1st
tap on orange tab above the settings,tap,tab,orange,above,settings,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
copy white text to the right of the last item,copy,text,white,right_of,last item,NONE
open the last orange icon,open,icon,orange,NONE,NONE,last
press tab next to the search,click,tab,NONE,next_to,search,NONE
scroll down to the 3rd white menu above the profile,scroll,menu,white,above,profile,3rd
long-press the 2nd icon to the right of the checkout,long-press,icon,NONE,right_of,checkout,2nd
copy text above the menu,copy,text,NONE,above,menu,NONE
press and hold button,long-press,button,NONE,NONE,NONE,NONE
long-press the last button above the home,long-press,button,NONE,above,home,last
launch button to the left of the search,open,button,NONE,left_of,search,NONE
long-press the 1st text,long-press,text,NONE,NONE,NONE,1st
copy the last text next to the settings,copy,text,NONE,next_to,settings,last
copy text below the notifications,copy,text,NONE,below,notifications,NONE
press the 3rd icon to the right of the profile,click,icon,NONE,right_of,profile,3rd
scroll down to gray menu below the search,scroll,menu,gray,below,search,NONE
press and hold button to the left of the address,long-press,button,NONE,left_of,address,NONE
scroll to text to the right of the help,scroll,text,NONE,right_of,help,NONE
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
select checkbox above the address,click,checkbox,NONE,above,address,NONE
scroll down to the 3rd yellow menu,scroll,menu,yellow,NONE,NONE,3rd
tap checkbox to the right of the wi-fi,tap,checkbox,NONE,right_of,wi-fi,NONE
trash button below the profile,delete,button,NONE,below,profile,NONE
tap icon next to the login,tap,icon,NONE,next_to,login,NONE
tap the 1st orange icon to the left of the cart,tap,icon,orange,left_of,cart,1st
scroll down to the last menu below the cart,scroll,menu,NONE,below,cart,last
launch link,open,link,NONE,NONE,NONE,NONE
tap on switch to the right of the login,tap,switch,NONE,right_of,login,NONE
copy the 3rd black text below the profile,copy,text,black,below,profile,3rd
press and hold the last button next to the home,long-press,button,NONE,next_to,home,last
long-press image,long-press,image,NONE,NONE,NONE,NONE
open white icon to the left of the wi-fi,open,icon,white,left_of,wi-fi,NONE
copy green text,copy,text,green,NONE,NONE,NONE
tap black switch,tap,switch,black,NONE,NONE,NONE
press and hold text to the right of the last item,long-press,text,NONE,right_of,last item,NONE
scroll down to blue tab to the right of the search,scroll,tab,blue,right_of,search,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
tap on icon to the right of the help,tap,icon,NONE,right_of,help,NONE
open menu to the right of the address,open,menu,NONE,right_of,address,NONE
paste purple text,paste,text,purple,NONE,NONE,NONE
click red checkbox to the right of the wi-fi,click,checkbox,red,right_of,wi-fi,NONE
scroll to green tab to the left of the checkout,scroll,tab,green,left_of,checkout,NONE
press the last link to the right of the address,click,link,NONE,right_of,address,last
long-press the 2nd icon to the left of the profile,long-press,icon,NONE,left_of,profile,2nd
remove the 2nd text,delete,text,NONE,NONE,NONE,2nd
scroll down to text to the right of the last item,scroll,text,NONE,right_of,last item,NONE
paste gray text,paste,text,gray,NONE,NONE,NONE
tap on link,tap,link,NONE,NONE,NONE,NONE
long-press button to the right of the payment,long-press,button,NONE,right_of,payment,NONE
tap tab next to the last item,tap,tab,NONE,next_to,last item,NONE
paste text next to the address,paste,text,NONE,next_to,address,NONE
